task,dimension,fid,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/32/6/2,32,6,30,0.39730544939116463,0.38030994597151896,14,16,0,0.06666666666666665,0.6120056137442589,1.0
bbob/32/7/0,32,7,30,0.4009747672761907,0.34942494460896784,14,15,1,0.09666666666666668,0.5095698444848895,1.0
bbob/32/7/1,32,7,30,0.48256068189382123,0.4811259546585997,13,17,0,0.022222222222222143,0.6554384250193834,1.0
bbob/32/7/2,32,7,30,0.5319893870235987,0.5542876559576823,18,11,1,-0.06777777777777783,0.6575663850187541,1.0
bbob/32/8/0,32,8,30,0.5132714294768995,0.5289968580088954,14,16,0,-0.028888888888888853,0.8235769439488649,1.0
bbob/32/8/1,32,8,30,0.4870081627484424,0.4484339527005916,12,18,0,0.10444444444444434,0.370740607380867,1.0
bbob/32/8/2,32,8,30,0.4799312956131084,0.4335735116686653,15,15,0,0.12888888888888883,0.3284698575735092,1.0
bbob/32/9/0,32,9,30,0.49499834103939866,0.5654384752282072,15,15,0,-0.14888888888888885,0.308520769700408,1.0
bbob/32/9/1,32,9,30,0.47217468845239274,0.592416153126442,21,9,0,-0.3222222222222222,0.0014574769884347916,0.19821687042713165
bbob/32/9/2,32,9,30,0.4490563445837974,0.5203067993026104,15,14,1,-0.1544444444444445,0.1631073882292975,1.0
