task,optimizer,optimizer_name,seed,n_trials,final_incumbent_regret,best_y_true,mean_eval_time
sphere_2d,baseline,SMAC3 Baseline (EI),19,50,0.04933363688248805,0.04933363688248805,0.0003172731399536133
sphere_2d,baseline,SMAC3 Baseline (EI),20,50,0.016357659723456278,0.016357659723456278,0.00035199642181396487
sphere_2d,baseline,SMAC3 Baseline (EI),21,50,1.8638987027756868,1.8638987027756868,0.00033213138580322264
sphere_2d,baseline,SMAC3 Baseline (EI),22,50,3.146051569660677,3.146051569660677,0.0003497171401977539
sphere_2d,baseline,SMAC3 Baseline (EI),23,50,0.06267311833826796,0.06267311833826796,0.00034935951232910155
sphere_2d,baseline,SMAC3 Baseline (EI),24,50,0.13880143472382017,0.13880143472382017,0.00036092758178710936
sphere_2d,baseline,SMAC3 Baseline (EI),25,50,0.6017425101180591,0.6017425101180591,0.00036023616790771486
sphere_2d,baseline,SMAC3 Baseline (EI),26,50,0.42560720829348614,0.42560720829348614,0.00036351203918457033
sphere_2d,baseline,SMAC3 Baseline (EI),27,50,0.021918474761011924,0.021918474761011924,0.00037596225738525393
sphere_2d,baseline,SMAC3 Baseline (EI),28,50,0.011888931061191209,0.011888931061191209,0.00037339210510253904
sphere_2d,baseline,SMAC3 Baseline (EI),29,50,0.13996501547877607,0.13996501547877607,0.0003297662734985352
sphere_2d,baseline,SMAC3 Baseline (EI),30,50,0.008074745447263327,0.008074745447263327,0.00042484283447265627
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,1,50,0.04006361730478997,0.04006361730478997,0.0003200483322143555
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,2,50,0.1967322417774858,0.1967322417774858,0.0003532123565673828
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,3,50,0.017795952565906395,0.017795952565906395,0.00043219566345214844
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,4,50,0.10229098951594644,0.10229098951594644,0.0003429269790649414
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,5,50,0.040490852446036556,0.040490852446036556,0.0003689241409301758
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,6,50,0.6923910123175822,0.6923910123175822,0.00038876056671142576
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,7,50,0.19604336122157862,0.19604336122157862,0.0003643655776977539
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,8,50,0.10121821011994041,0.10121821011994041,0.000391993522644043
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,9,50,0.06698985439095073,0.06698985439095073,0.0003510522842407227
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,10,50,0.015293922685793469,0.015293922685793469,0.0003583955764770508
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,11,50,0.19504971467679671,0.19504971467679671,0.0003847646713256836
