task,optimizer,optimizer_name,seed,trial,cost,y_true,sigma_true,instantaneous_regret,incumbent_regret,noise_residual,time,config
ackley_2d,baseline,SMAC3 Baseline (EI),2,45,2.842267698397048,2.848421065374627,0.17402228711913545,2.848421065374627,2.769053769214118,-0.0061533669775794,0.0005772113800048828,"[-0.031990204531, 0.4263794363052]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,46,2.8993332449053653,2.8516704483030613,0.17415527802599742,2.8516704483030613,2.769053769214118,0.04766279660230416,0.0006783008575439453,"[-0.0289331759306, 0.4277762952322]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,47,2.749303463098587,2.8532846902137696,0.17422136438600383,2.8532846902137696,2.769053769214118,-0.10398122711518262,0.0005834102630615234,"[-0.0320172422391, 0.4275584814783]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,48,2.8147055749081753,2.8302208437273326,0.17327831676430738,2.8302208437273326,2.769053769214118,-0.015515268819157284,0.0005319118499755859,"[-0.0221970056956, 0.4237107532713]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,49,2.6917158133654535,2.834812062220689,0.17346584266154474,2.834812062220689,2.769053769214118,-0.14309624885523542,0.0005469322204589844,"[-0.0229851478855, 0.4246955105635]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,50,2.687305127901613,2.8730556589217326,0.17503177439583786,2.8730556589217326,2.769053769214118,-0.18575053102011937,0.00046133995056152344,"[-0.0509438865415, 0.427331459507]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,1,8.086760440084333,9.037511079781405,0.46280829324130435,9.037511079781405,9.037511079781405,-0.9507506396970722,0.0008642673492431641,"[2.4364070035517, -1.5600319392979]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,2,9.308991798487751,9.537949814281296,0.48726914190144605,9.537949814281296,9.037511079781405,-0.22895801579354474,0.0008683204650878906,"[-3.8360562734306, 1.1304569430649]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,3,8.843426447492828,8.985554378341838,0.4602721680868239,8.985554378341838,8.985554378341838,-0.14212793084901088,0.0006353855133056641,"[-0.3157778829336, -3.1815793644637]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,4,11.805479019844634,12.148357504787207,0.615594407999536,12.148357504787207,8.985554378341838,-0.3428784849425716,0.000377655029296875,"[3.2998260855675, 4.1573423985392]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,5,16.23969239522342,14.000097792909882,0.7071116216889667,14.000097792909882,8.985554378341838,2.2395946023135376,0.0003008842468261719,"[4.4427571818233, -4.8411510139704]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,6,8.991658278768028,9.130056572522859,0.46732732912132335,9.130056572522859,8.985554378341838,-0.13839829375482982,0.0003380775451660156,"[-1.7896720394492, 2.536881454289]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,7,8.318538392455038,8.635099466618255,0.4431843374894664,8.635099466618255,8.635099466618255,-0.3165610741632185,0.0006568431854248047,"[-2.8110183961689, -0.5254988092929]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,8,6.006264782526773,6.233584381036472,0.32732848270316267,6.233584381036472,6.233584381036472,-0.22731959850969882,0.0003597736358642578,"[1.0782698355615, 2.1259570028633]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,9,8.557983752519979,8.612516557998468,0.44208438521903765,8.612516557998468,6.233584381036472,-0.05453280547849006,0.0005631446838378906,"[0.5118352267891, -2.6513988524675]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,10,12.61079773962232,12.64130990094632,0.6399271755671958,12.64130990094632,6.233584381036472,-0.030512161323999212,0.0003628730773925781,"[-3.1821607705206, 4.7264804318547]"
ackley_2d,baseline,SMAC3 Baseline (EI),3,11,9.276081603701918,8.608310364441037,0.4418795292003891,8.608310364441037,6.233584381036472,0.6677712392608822,0.0005624294281005859,"[-2.3169105965644, -2.0894111413509]"
